epoch,train_loss,train_acc,test_acc,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr
1,3.473081838516962,0.1369047619047619,0.23809523809523808,0.06713787430808657,0.09099061148507255,Adam,FwdBwdLoss,9,0.001,0.001
2,3.445593924749465,0.23809523809523808,0.23809523809523808,0.06614164582320622,0.08990469433012463,Adam,FwdBwdLoss,9,0.001,0.001
3,3.4173838751656667,0.3214285714285714,0.23809523809523808,0.06548625798452468,0.08909696908224196,Adam,FwdBwdLoss,9,0.001,0.001
4,3.4000936235700334,0.34523809523809523,0.2857142857142857,0.06478976564747947,0.08842843770980835,Adam,FwdBwdLoss,9,0.001,0.001
5,3.376619407108852,0.3273809523809524,0.2857142857142857,0.06407733545416877,0.08777375448317755,Adam,FwdBwdLoss,9,0.001,0.001
6,3.355456624712263,0.30357142857142855,0.2857142857142857,0.06335286512261346,0.087101073492141,Adam,FwdBwdLoss,9,0.001,0.001
7,3.340942995888846,0.30952380952380953,0.2857142857142857,0.06265539072808765,0.08644696360542661,Adam,FwdBwdLoss,9,0.001,0.001
8,3.3188805353073847,0.2976190476190476,0.2857142857142857,0.06200552199568067,0.08582821346464611,Adam,FwdBwdLoss,9,0.001,0.001
9,3.3074972856612432,0.30357142857142855,0.2857142857142857,0.061411705755052115,0.08525589534214564,Adam,FwdBwdLoss,9,0.001,0.001
10,3.2950378599621,0.29166666666666663,0.2857142857142857,0.06088862603618985,0.08476193462099348,Adam,FwdBwdLoss,9,0.001,0.001
11,3.2903943288893926,0.2976190476190476,0.2857142857142857,0.06043178765546708,0.08434456019174486,Adam,FwdBwdLoss,9,0.001,0.001
12,3.280299663543701,0.2857142857142857,0.2857142857142857,0.060037300700233096,0.08399721554347447,Adam,FwdBwdLoss,9,0.001,0.001
13,3.2811461176191057,0.2857142857142857,0.2857142857142857,0.05968341799009414,0.08369538613728114,Adam,FwdBwdLoss,9,0.001,0.001
14,3.2680309272947765,0.29166666666666663,0.2857142857142857,0.059357130101748874,0.08342631374086652,Adam,FwdBwdLoss,9,0.001,0.001
15,3.2521572340102423,0.2857142857142857,0.30952380952380953,0.05906541219779423,0.08318362065723964,Adam,FwdBwdLoss,9,0.001,0.001
16,3.254877181280227,0.2857142857142857,0.30952380952380953,0.058797140206609456,0.08295343887238275,Adam,FwdBwdLoss,9,0.001,0.001
17,3.2443940412430536,0.2857142857142857,0.30952380952380953,0.05854237079620361,0.08274668738955543,Adam,FwdBwdLoss,9,0.001,0.001
18,3.238825071425665,0.29166666666666663,0.2857142857142857,0.05829327234200069,0.08255248694192796,Adam,FwdBwdLoss,9,0.001,0.001
19,3.2378538903735934,0.29166666666666663,0.2857142857142857,0.05804839517389025,0.08236090626035418,Adam,FwdBwdLoss,9,0.001,0.001
20,3.2360496066865467,0.2976190476190476,0.2857142857142857,0.057810278165908086,0.08217969111033849,Adam,FwdBwdLoss,9,0.001,0.001
21,3.220855917249407,0.2976190476190476,0.2857142857142857,0.05757555365562439,0.08199938138326009,Adam,FwdBwdLoss,9,0.001,0.001
22,3.2246793111165366,0.29166666666666663,0.2857142857142857,0.05734703725292569,0.08180986699603852,Adam,FwdBwdLoss,9,0.001,0.001
23,3.212830066680908,0.30357142857142855,0.2857142857142857,0.05712337295214335,0.08161735534667969,Adam,FwdBwdLoss,9,0.001,0.001
